author_type,critic_name,review_date,review_text,score
Top Critic,Chris DeVille,"Jul 7, 2025",The film’s on-the-nose approach seems unlikely to win over viewers who aren’t already on board with its message.,Rotten
Top Critic,John Anderson,"May 7, 2025",Your spiritual results may vary.,Fresh
Top Critic,Carlos Aguilar,"Apr 11, 2025",A serviceable if uninspired take on a story told countless times in just as varied formats.,Fresh
Top Critic,William Bibbiani,"Apr 11, 2025","It’s impossible to watch a film in which Jesus Christ says it’s wrong to profit from religion and then watch the filmmakers panhandle for extra money at the end. At least, not without imagining the screen getting struck by lightning.",Rotten
Top Critic,Matt Zoller Seitz,"Apr 11, 2025",Less of a fully satisfying animated feature that works on its own terms than a teaching tool that is clearly intended as such.,Rotten
Top Critic,Randy Myers,"Apr 10, 2025","While a few choices do seem a bit odd, “The King of Kings” does a facile job of offering a crash course on Christ for a younger generation.",Fresh
Top Critic,Alissa Wilkinson,"Apr 10, 2025","It’s just the same story: every beat expected, every moment predetermined.",Rotten
Top Critic,Bob Strauss,"Apr 10, 2025","“The King of Kings” gives the Jesus story an animated treatment with some whimsical Dickensian touches. It’s nothing to write scripture about, but it should provide amusing and possibly enlightening Easter entertainment for younger children.",Fresh
Top Critic,Linda Marric,"Apr 9, 2025","With a creative narrative structure, a talented voice cast, and a sincere emotional core, it is a film that will resonate with families and faith-based audiences alike.",Fresh
Top Critic,Leslie Felperin,"Apr 8, 2025","The whole package isn’t on a par with the best biblical epics, but it’s serviceable enough.",Fresh
Top Critic,Kevin Maher,"Apr 7, 2025",... A faith-based South Korean animation with a top-tier voice cast and a disconcerting penchant for interrupting pivotal moments from the Bible with nonsense slapstick involving a wacky 19th-century house cat.,Rotten
Audience,,"Aug 17, 2025","Muito bom, filme emocionante, e busca trazer a história de Jesus para um público alvo em geral, principalmente as crianças, e convido vocês a sentir essa emoção de amor, vinda do Senhor, através do filme.",5/5.0
Audience,beliaalfaro,"Aug 15, 2025",Goated and lord Jesus Christ is king,5/5.0
Audience,,"Aug 8, 2025",Jesus Christ lives with us and he is the son of God.,5/5.0
Audience,,"Aug 5, 2025","VERY good Christian movie. My family went to see it, and we came out happy. This movie is worth watching, do NOT listen to the critics. If you are a Christian searching for a good Christian movie, look no further. The King of Kings is here!",4.5/5.0
Audience,Bee Yang,"Aug 4, 2025",I love my Lord and Savior Jesus Christ. I took the family to watch this movie and I got to say it was a great movie. my kids loved it also.,5/5.0
Audience,Alvarez,"Aug 2, 2025",The story of our King made for kids to understand.,5/5.0
Audience,,"Jul 28, 2025","To my surprise, I enjoyed the film, despite typically not being a fan of modern animation. The animation looked good, and there were several cinematic, eye-popping moments that surpassed what is typically expected from a cartoon. The directing was wonderful, and I could clearly tell Seong-Ho Jang was passionate about what he was putting on screen.",4/5.0
Audience,Oleg,"Jul 28, 2025",Been sleeping entire movie.,1.5/5.0
Audience,,"Jul 26, 2025","We really enjoyed watching the movie. If you're looking for a way to introduce a child to the story of Jesus, this is a great option. It's beautifully animated and stays true to the bible throughout the story - which is very important to us. We found the Angel platform had lots of great programming available.

#KingofKingsMIN #MomentumInfluencerNetwork #angelstudios #thekingofkings @angelstudios @thekingofkings

Many thanks to Angel for providing a one month Angel Guild membership for this review. Opinions are 100% my own.",5/5.0
Audience,Melissa,"Jul 26, 2025",thankful for the story put together,5/5.0
Audience,,"Jul 25, 2025","O Rei Dos Reis impressiona ao entregar uma narrativa simples e encantadora, ao mesmo tempo que trás uma animação belíssima e cativante.",4/5.0
Audience,,"Jul 24, 2025","There is a brand-new film released recently on Angel.com. It’s called The King of Kings and it’s a cartoon based animated film touching on the teachings and life of Jesus. I personally watched it via my Fire Cube device and the streaming was incredible. This film was in 4K quality and wasn’t blurry and it was very clear the entire time. And for this being a Christian based production I was pleasing surprised that it was so high quality and looked amazing. The film wasn’t cheesy or anything in that regards. I really enjoyed the message behind the film and how it was a strong introduction to the life of Christ. 


The film begins with Charles Dickson is reciting his story of the Scrooge to an audience. When his son, Walter and his cat stop the production of the play while trying to perform a reenacted of King Arthur. Instead of punishing him, he takes a different route thanks to his wife and tells him the story of Jesus. He begins with the birth of Jesus, discussed his miracles, his betrayal and resurrection. The film is very PG rated and the only violence kids will see is mark-lines on Jesus from the after effects of Jesus being beaten. Kids can’t really see the punishment that Jesus took its sort of censored in a way. Later they can see the nails marks near his hands but even that is a clean version. I liked how they didn’t make it too violent for kids where everyone wouldn’t have to worry about what is being seen. They will get to watch the scenes unfold of Jesus entire life it covered all the big events and miracles. My favorite one was probably the one of the women and go and sin no more. This was done in a way kids could understand without making it too adult. 


The film voiced high paying actors and actresses throughout the film. These included Kenneth Branagh (Thor and 2015 Cinderella), Mark Hamill (Star Wars – Luke Skywalker), Pierce Brosnan (James Bond), Forest Whitaker (Star Wars Rogue), Ben Kingsley (Iron Man 3), Oscar Isaac (Star Wars, X-men Apocalypse, The Addam’s Family, and The Nativity Story), James Arnold Taylor (Best known in Star Wars Clone Wars voicing Obi-Wan Kenobi). There were tons of voicing that people will recognize from the Star Wars films. Two of my favorites were in this movie. I have always enjoyed Mark Hamill and Oscar Isaac in his roles. I think having the powerhouse lineup will help lure kids into the story of Jesus. They are also estimated that this film has outdone other cartoon films. It has surpassed the popular 1998’s Prince of Egypt. It raised over $19 million just in the opening weekend. This film will go down as another popular film that will be rewatched again and again.",5/5.0
Audience,,"Jul 20, 2025","Inspiring and encouraging, beautiful film",5/5.0
Audience,,"Jul 20, 2025",It was a really well done and very satisfying animated family movie.,5/5.0
Audience,Maricela,"Jul 14, 2025",great story especially for kids to really get an understanding,5/5.0
Audience,,"Jul 6, 2025",What a beautiful movie,5/5.0
Audience,,"Jul 6, 2025","This film deserves to be recognized by the whole world, I loved the film, it was really good, nothing was changed, I say, congratulations to the director of this film, and I hope everyone knows the word of God, And our savior, Jesus",5/5.0
Audience,,"Jul 4, 2025","Clean & selfless. 

A father of two, this is something I can get behind. A tale within a tale. Solid tempo, great art, Good choices on audio.",4.5/5.0
Audience,,"Jul 4, 2025",Really good heart warming kids movie.,4/5.0
